id,bank_id,latitude,longitude,changeset,uid,timestamp,version
66,18,39.8713794,32.7501986,14229165,689014,2012-12-10T18:37:27Z,2
67,4,40.0360066,32.9025131,15856913,436145,2013-04-25T06:17:11Z,3
68,21,40.0361973,32.9025597,15856592,436145,2013-04-25T05:54:15Z,2
69,2,40.0377896,32.9035297,15856822,436145,2013-04-25T06:13:52Z,1
70,0,39.8718118,32.6880445,16249222,1400888,2013-05-23T09:15:33Z,2
71,17,39.8742821,32.688151,15909574,1400888,2013-04-29T15:49:20Z,1
72,9,39.8742004,32.688302,15909574,1400888,2013-04-29T15:49:41Z,1
73,11,39.8737097,32.6891273,15909574,1400888,2013-04-29T15:52:44Z,1
74,18,39.8736814,32.6886684,15936535,1400888,2013-05-01T17:34:06Z,2
75,4,39.8736875,32.6887703,15936535,1400888,2013-05-01T17:34:06Z,2
76,5,39.8736934,32.6888672,15936535,1400888,2013-05-01T17:34:06Z,2
77,2,39.8744654,32.6880465,16249222,1400888,2013-05-23T09:15:33Z,2
78,21,39.8743813,32.6880703,15936535,1400888,2013-05-01T17:34:03Z,1
79,3,39.8737017,32.688988,15936535,1400888,2013-05-01T17:34:04Z,1
80,17,39.8562184,32.6456496,16249222,1400888,2013-05-23T08:54:48Z,1
81,5,39.8563421,32.6455904,16249222,1400888,2013-05-23T08:54:48Z,1
82,4,39.8941218,32.7031047,16299358,1400888,2013-05-26T18:59:21Z,1
83,17,39.8937679,32.7029398,16299391,1400888,2013-05-26T19:02:05Z,1
84,9,39.8937977,32.7025455,16299391,1400888,2013-05-26T19:02:05Z,1
85,2,39.9729767,32.7094426,16338087,674129,2013-05-29T14:14:08Z,1
86,2,39.9201277,32.8552907,17183500,1592082,2013-08-01T19:03:50Z,1
87,5,39.8921047,32.7877884,45362557,689014,2017-01-22T04:42:55Z,3
88,18,39.9211657,32.8545314,45345166,1686268,2017-01-21T08:45:43Z,2
89,9,39.9428437,32.814887,22271652,584117,2014-05-11T13:59:34Z,2
90,2,39.9430188,32.817306,44858117,584117,2017-01-02T22:37:05Z,3
91,4,39.9098323,32.8632199,46918730,2734838,2017-03-17T06:53:37Z,2
92,10,39.9093646,32.862088,22292330,1964715,2014-05-12T13:53:57Z,1
93,21,39.9088878,32.8620197,45288745,1686268,2017-01-19T05:48:45Z,2
94,4,39.9685307,32.7177611,31320110,1720218,2015-05-20T16:31:56Z,1
95,3,39.9333411,32.9091477,32607902,519138,2015-07-13T16:55:14Z,1
96,2,39.9332767,32.9093046,39830812,1386706,2016-06-06T06:23:48Z,2
97,18,39.7939608,32.8072218,35262254,1386706,2015-11-12T14:25:57Z,1
98,4,39.7938329,32.8071848,35262254,1386706,2015-11-12T14:25:57Z,1
99,17,39.9903375,32.7998473,35917314,3442773,2015-12-12T22:12:41Z,1
100,9,39.9337,32.878377,35980444,2075297,2015-12-16T05:44:19Z,1
101,8,39.8855441,32.8551333,37859830,1686268,2016-03-16T00:26:06Z,1
102,13,39.8836423,32.8567748,37859830,1686268,2016-03-16T00:26:06Z,1
103,13,39.8857067,32.8551252,37859830,1686268,2016-03-16T00:26:06Z,1
104,9,39.8853444,32.8559755,37859830,1686268,2016-03-16T00:26:06Z,1
105,15,39.8756416,32.8638289,37896464,1686268,2016-03-17T13:33:50Z,1
106,5,39.8715,32.8606855,37896464,1686268,2016-03-17T13:33:50Z,1
107,11,39.8712962,32.8605728,37896464,1686268,2016-03-17T13:33:50Z,1
108,4,39.8752333,32.8629764,41818501,1386706,2016-08-31T05:40:04Z,2
109,21,39.8739949,32.862858,37896464,1686268,2016-03-17T13:33:51Z,1
110,8,39.8713744,32.8606291,37896464,1686268,2016-03-17T13:33:51Z,1
111,1,39.8701249,32.8598835,37896464,1686268,2016-03-17T13:33:51Z,1
112,12,39.8710018,32.8603743,37896464,1686268,2016-03-17T13:33:51Z,1
